Number,Company,Symbol,YTD Return
1,"Robinhood Markets, Inc.",HOOD,248.66
2,Western Digital,WDC,180.00
3,Seagate Technology,STX,161.15
4,Newmont,NEM,143.87
5,Micron Technology,MU,140.47
6,Palantir Technologies,PLTR,135.55
7,Lam Research,LRCX,95.92
8,Advanced Micro Devices,AMD,92.96
9,NRG Energy,NRG,87.03
10,AppLovin Corporation,APP,85.07
11,Intel,INTC,84.59
12,CVS Health,CVS,83.83
13,GE Vernova,GEV,82.41
14,Amphenol,APH,80.92
15,GE Aerospace,GE,79.95
16,"Tapestry, Inc.",TPR,78.82
17,Corning Inc.,GLW,77.80
18,KLA Corporation,KLAC,75.63
19,Oracle Corporation,ORCL,74.81
20,Howmet Aerospace,HWM,73.43
21,Constellation Energy,CEG,72.77
22,Warner Bros. Discovery,WBD,72.09
23,Supermicro,SMCI,71.19
24,Monolithic Power Systems,MPWR,69.79
25,Paramount Skydance Corp,PSKY,60.33
26,DoorDash,DASH,56.82
27,TE Connectivity,TEL,55.96
28,Idexx Laboratories,IDXX,53.69
29,Uber,UBER,53.02
30,"EMCOR Group, Inc.",EME,51.80
31,Broadcom,AVGO,50.68
32,Interactive Brokers Group,IBKR,49.95
33,eBay,EBAY,48.52
34,Huntington Ingalls Industries,HII,48.18
35,Vistra Corp.,VST,46.04
36,Jabil,JBL,45.48
37,Caterpillar Inc.,CAT,45.30
38,Cencora,COR,44.51
39,HCA Healthcare,HCA,41.98
40,Take-Two Interactive,TTWO,41.98
41,Ralph Lauren Corporation,RL,41.90
42,CrowdStrike,CRWD,41.64
43,Dollar General,DG,39.46
44,United Rentals,URI,39.17
45,Welltower,WELL,38.93
46,Applied Materials,AMAT,38.34
47,BNY Mellon,BK,37.94
48,McKesson Corporation,MCK,37.92
49,Citigroup,C,37.90
50,Johnson Controls,JCI,37.88
51,Quanta Services,PWR,37.27
52,Electronic Arts,EA,36.91
53,Aptiv,APTV,36.84
54,Wynn Resorts,WYNN,36.73
55,RTX Corporation,RTX,36.49
56,Nvidia,NVDA,36.44
57,Allegion,ALLE,35.82
58,Coinbase Global,COIN,35.33
59,L3Harris,LHX,35.00
60,Netflix,NFLX,34.56
61,Estée Lauder Companies (The),EL,34.41
